Denumire,Cod livrabil,Tip proiect aplicabil,Faza,Ordine,Offset termen (zile),Offset fata de implementare,Rol responsabil,Rol aprobator,Obligatoriu,Necesita document,Conditie de aplicabilitate,Sablon Word,Activ
SCP completat si trimis,LIV-01,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,00 Solicitare,1,0,,KAM,Manager R&D,Da,Da,Intotdeauna,SCP,Da
Eticheta produs client (EPC) primita,LIV-02,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Ambalaj nou,00 Solicitare,2,2,,KAM,,Nu,Da,Doar eticheta noua,,Da
Referinta de comparatie inregistrata,LIV-03,Produs nou;Abatere;Transfer pe alta linie;Ambalaj nou,00 Solicitare,3,1,,KAM,Tehnolog,Da,Nu,Intotdeauna,,Da
Cerinte de eticheta si ambalaj de la client,LIV-04,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,00 Solicitare,4,2,,KAM,,Nu,Da,Intotdeauna,,Da
Decizie de triaj cu motiv,LIV-05,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,00 Solicitare,5,1,,Manager R&D,,Da,Nu,Intotdeauna,,Da
Plan de dezvoltare produs,LIV-06,Produs nou;Reformulare;Transfer pe alta linie;Optimizare cost;Ambalaj nou,01 Plan,1,2,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,PLAN,Da
Cerere achizitii mostra MP noua,LIV-07,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,01 Plan,2,3,,Tehnolog,Achizitii,Da,Da,Doar MP noua,CAMP,Da
Lista materiilor prime cu marcarea celor noi,LIV-08,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,01 Plan,3,3,,Tehnolog,,Da,Nu,Intotdeauna,,Da
Slot de testare propus si negociat,LIV-09,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,01 Plan,4,3,,Manager R&D,Planificare,Nu,Nu,Intotdeauna,,Da
Fisa de test,LIV-10,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,02 Testare,1,5,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,FTEST,Da
Testare realizata (cel putin un trial reusit),LIV-11,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,02 Testare,2,8,,Tehnolog,,Da,Nu,Intotdeauna,,Da
Raport de testare cu masuratori si statistica,LIV-12,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,02 Testare,3,9,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,RTEST,Da
Evaluare produs (fisa de evaluare senzoriala),LIV-13,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,02 Testare,4,9,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,FSENZ,Da
Test comparativ fata de referinta,LIV-14,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,02 Testare,5,9,,Tehnolog,,Nu,Nu,Intotdeauna,,Da
Mostre de produs pregatite si livrate,LIV-15,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,03 Mostre,1,10,,Suport R&D,,Da,Nu,Intotdeauna,,Da
